# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
57            	DILUPBiCGStab	1.068430e-03	4.907640e-06	4	1.127010e-02	4.714510e-05	4	false	DILUPBiCGStab	6.449300e-08	1.744780e-27	1	true	GAMG	1.852530e-02	1.028050e-04	4	true	DILUPBiCGStab	2.924600e-01	3.197510e-27	1	true
58            	DILUPBiCGStab	1.053840e-03	8.575030e-06	3	1.122840e-02	6.540890e-05	4	false	DILUPBiCGStab	4.074000e-08	1.006870e-26	1	true	GAMG	1.847620e-02	1.046280e-04	4	true	DILUPBiCGStab	3.269750e-07	5.630170e-24	1	true
59            	DILUPBiCGStab	1.021250e-03	4.418290e-06	4	1.109580e-02	7.764730e-05	3	false	DILUPBiCGStab	1.803780e-08	1.170000e-25	1	true	GAMG	1.833620e-02	1.011000e-04	4	true	DILUPBiCGStab	4.870720e-07	6.603430e-24	1	true
60            	DILUPBiCGStab	1.035170e-03	3.687580e-06	4	1.102400e-02	9.839190e-05	3	false	DILUPBiCGStab	5.923340e-08	4.049990e-25	1	true	GAMG	1.834930e-02	9.934250e-05	4	true	DILUPBiCGStab	9.433130e-07	1.556580e-25	1	true
61            	DILUPBiCGStab	9.803380e-04	3.787160e-06	4	1.091030e-02	9.770530e-05	3	false	DILUPBiCGStab	2.570160e-08	1.961500e-24	1	true	GAMG	1.831550e-02	9.288140e-05	4	true	DILUPBiCGStab	1.216740e-11	1.216740e-11	0	true
62            	DILUPBiCGStab	8.135360e-04	3.888750e-06	4	9.954570e-03	5.231460e-05	4	false	DILUPBiCGStab	1.075370e-08	1.726560e-24	1	true	GAMG	1.858190e-02	9.782250e-05	4	true	DILUPBiCGStab	1.411920e-11	1.411920e-11	0	true
63            	DILUPBiCGStab	6.716450e-04	5.688070e-07	5	9.332710e-03	5.981530e-05	4	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.843200e-02	9.612850e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
64            	DILUPBiCGStab	5.033960e-04	4.775590e-06	4	8.507940e-03	7.580910e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.821450e-02	9.464800e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
65            	DILUPBiCGStab	4.676190e-04	3.041980e-06	4	8.128060e-03	5.868760e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.795740e-02	9.082120e-05	4	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
66            	DILUPBiCGStab	3.876540e-04	3.341970e-06	4	7.448370e-03	5.078090e-05	3	false	DILUPBiCGStab	4.430860e-09	4.430860e-09	0	true	GAMG	1.778160e-02	1.750830e-04	3	true	DILUPBiCGStab	2.342360e-13	2.342360e-13	0	true
